;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ageing Europe;;;;;;;;;;;;;;;;;;;;;;;
;;Working and moving into retirement;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Figure 8: Employed people usually working at home, by sex and age class, EU-27, 2004 and 2019;;;;;;;;;;;;;;;;;;;;;;;
;;(%);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Men;Women;All people;;;;;;;;;;;;;;;;;;;
;;"
2004";15-64 years;4,3;5,5;4,8;;;;;;;;;;;;;;;;;;;
;;;55-64 years;7,3;9,1;8,0;;;;;;;;;;;;;;;;;;;
;;;³65 years;14,5;12,0;13,6;;;;;;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;;;;;;;;;;
;;"
2019";15-64 years;5,2;5,7;5,4;;;;;;;;;;;;;;;;;;;
;;;55-64 years;6,7;6,8;6,7;;;;;;;;;;;;;;;;;;;
;;;³65 years;14,8;13,8;14,4;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Source: Eurostat (online data code: lfsa_ehomp);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Bookmark:;;;;;;;;;;;;;;;;;;;;;;;;;
"https://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-052914_QID_-296F8797_UID_-3F171EB0&layout=SEX,L,X,0;TIME,C,Y,0;AGE,L,Y,1;FREQUENC,L,Z,0;WSTATUS,L,Z,1;UNIT,L,Z,2;GEO,L,Z,3;INDICATORS,C,Z,4;&zSelection=DS-052914WSTATUS,EMP;DS-052914FREQUENC,USU;DS-052914INDICATORS,OBS_FLAG;DS-052914GEO,EU27_2020;DS-052914UNIT,PC;&rankName1=WSTATUS_1_2_-1_2&rankName2=UNIT_1_2_-1_2&rankName3=FREQUENC_1_2_-1_2&rankName4=INDICATORS_1_2_-1_2&rankName5=GEO_1_2_1_0&rankName6=SEX_1_2_0_0&rankName7=TIME_1_0_0_1&rankName8=AGE_1_2_1_1&sortR=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
